y+,u_mean,uu+,ww+,y+,vv+,-uv+
583.853,21.6474,1.77386,0.827633,587.07,0.702931,0.415727
590.293,21.6838,1.75215,0.817437,593.515,0.696768,0.40948
596.742,21.7198,1.73057,0.807264,599.97,0.690655,0.403224
603.201,21.7556,1.70907,0.797154,606.433,0.684583,0.396959
609.67,21.7909,1.68765,0.787171,612.906,0.678544,0.390686
616.147,21.826,1.6663,0.77735,619.388,0.672523,0.384405
622.633,21.8608,1.64506,0.767691,625.878,0.666507,0.378119
629.128,21.8952,1.62393,0.758171,632.377,0.660491,0.371827
635.631,21.9293,1.60293,0.748739,638.885,0.654482,0.365528
642.143,21.963,1.582,0.739333,645.401,0.648497,0.359221
648.663,21.9964,1.56114,0.729921,651.925,0.642554,0.352907
655.191,22.0294,1.54035,0.720502,658.457,0.63667,0.346588
661.727,22.0621,1.51966,0.711083,664.998,0.630855,0.340263
668.272,22.0944,1.49907,0.701689,671.546,0.625115,0.333934
674.824,22.1263,1.47855,0.692362,678.102,0.619459,0.327601
681.385,22.1578,1.45809,0.683142,684.667,0.613899,0.321262
687.953,22.189,1.43768,0.674061,691.239,0.608448,0.314919
694.529,22.2197,1.41734,0.665138,697.819,0.603108,0.308572
701.113,22.25,1.39706,0.65638,704.407,0.597881,0.302219
707.705,22.2799,1.37684,0.647771,711.003,0.592761,0.295861
714.306,22.3094,1.35666,0.639291,717.608,0.587739,0.289498
720.914,22.3384,1.33648,0.630925,724.22,0.582811,0.283129
727.53,22.367,1.31632,0.622664,730.84,0.577973,0.276755
734.155,22.3953,1.2962,0.614495,737.469,0.573225,0.270375
740.787,22.423,1.27613,0.606406,744.106,0.568569,0.263988
747.429,22.4504,1.2561,0.598401,750.751,0.56401,0.257595
754.079,22.4773,1.23609,0.590487,757.406,0.559547,0.251195
760.737,22.5038,1.21612,0.582673,764.069,0.555177,0.244788
767.404,22.5298,1.19622,0.574989,770.74,0.550896,0.238374
774.081,22.5553,1.17645,0.567464,777.421,0.546706,0.231953
