y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+ y+ Diss.   
0.105776e+03 0.167742e+02 0.328959e+01 0.159867e+01 0.108162e+03 0.108399e+01 0.801258e+00 0.425913e+00 0.341466e+02 0.105776e+03 -0.163803e-01
0.110600e+03 0.168874e+02 0.324043e+01 0.157717e+01 0.113038e+03 0.107880e+01 0.794526e+00 0.426506e+00 0.350193e+02 0.110600e+03 -0.154385e-01
0.115525e+03 0.169991e+02 0.319325e+01 0.155619e+01 0.118013e+03 0.107313e+01 0.787585e+00 0.426984e+00 0.358645e+02 0.115525e+03 -0.145765e-01
0.120549e+03 0.171094e+02 0.314767e+01 0.153565e+01 0.123085e+03 0.106704e+01 0.780444e+00 0.427356e+00 0.366832e+02 0.120549e+03 -0.137869e-01
0.125669e+03 0.172184e+02 0.310346e+01 0.151546e+01 0.128253e+03 0.106051e+01 0.773117e+00 0.427641e+00 0.374869e+02 0.125669e+03 -0.130626e-01
0.130883e+03 0.173259e+02 0.306041e+01 0.149558e+01 0.133513e+03 0.105353e+01 0.765610e+00 0.427860e+00 0.382773e+02 0.130883e+03 -0.123943e-01
0.136188e+03 0.174320e+02 0.301811e+01 0.147601e+01 0.138864e+03 0.104615e+01 0.757925e+00 0.428036e+00 0.390435e+02 0.136188e+03 -0.117760e-01
0.141583e+03 0.175367e+02 0.297610e+01 0.145677e+01 0.144302e+03 0.103841e+01 0.750065e+00 0.428183e+00 0.397768e+02 0.141583e+03 -0.112052e-01
0.147064e+03 0.176401e+02 0.293410e+01 0.143795e+01 0.149826e+03 0.103033e+01 0.742041e+00 0.428313e+00 0.404830e+02 0.147064e+03 -0.106778e-01
0.152630e+03 0.177421e+02 0.289218e+01 0.141964e+01 0.155433e+03 0.102195e+01 0.733863e+00 0.428408e+00 0.411666e+02 0.152630e+03 -0.101875e-01
0.158277e+03 0.178428e+02 0.285056e+01 0.140191e+01 0.161121e+03 0.101333e+01 0.725540e+00 0.428454e+00 0.418283e+02 0.158277e+03 -0.972877e-02
0.164004e+03 0.179421e+02 0.280925e+01 0.138482e+01 0.166886e+03 0.100446e+01 0.717082e+00 0.428455e+00 0.424780e+02 0.164004e+03 -0.929798e-02
0.169807e+03 0.180401e+02 0.276815e+01 0.136821e+01 0.172727e+03 0.995381e+00 0.708490e+00 0.428416e+00 0.430999e+02 0.169807e+03 -0.889383e-02
0.175684e+03 0.181367e+02 0.272703e+01 0.135172e+01 0.178640e+03 0.986161e+00 0.699759e+00 0.428329e+00 0.436678e+02 0.175684e+03 -0.851684e-02
0.181632e+03 0.182320e+02 0.268588e+01 0.133511e+01 0.184624e+03 0.976864e+00 0.690895e+00 0.428170e+00 0.441746e+02 0.181632e+03 -0.816556e-02
0.187650e+03 0.183261e+02 0.264494e+01 0.131839e+01 0.190676e+03 0.967515e+00 0.681908e+00 0.427929e+00 0.446371e+02 0.187650e+03 -0.783708e-02
0.193734e+03 0.184191e+02 0.260418e+01 0.130158e+01 0.196792e+03 0.958120e+00 0.672811e+00 0.427620e+00 0.450780e+02 0.193734e+03 -0.752791e-02
0.199882e+03 0.185108e+02 0.256340e+01 0.128466e+01 0.202972e+03 0.948671e+00 0.663617e+00 0.427260e+00 0.455238e+02 0.199882e+03 -0.723331e-02
0.206091e+03 0.186014e+02 0.252253e+01 0.126762e+01 0.209211e+03 0.939158e+00 0.654330e+00 0.426852e+00 0.459926e+02 0.206091e+03 -0.695093e-02
0.212360e+03 0.186905e+02 0.248171e+01 0.125042e+01 0.215509e+03 0.929574e+00 0.644945e+00 0.426375e+00 0.464515e+02 0.212360e+03 -0.668165e-02
0.218685e+03 0.187784e+02 0.244114e+01 0.123307e+01 0.221862e+03 0.919926e+00 0.635449e+00 0.425808e+00 0.468501e+02 0.218685e+03 -0.642652e-02
0.225065e+03 0.188649e+02 0.240079e+01 0.121539e+01 0.228268e+03 0.910222e+00 0.625845e+00 0.425150e+00 0.471696e+02 0.225065e+03 -0.618754e-02
0.231496e+03 0.189502e+02 0.236064e+01 0.119738e+01 0.234725e+03 0.900420e+00 0.616135e+00 0.424405e+00 0.474058e+02 0.231496e+03 -0.596431e-02
0.237978e+03 0.190345e+02 0.232084e+01 0.117920e+01 0.241231e+03 0.890458e+00 0.606334e+00 0.423580e+00 0.475804e+02 0.237978e+03 -0.575264e-02
0.244507e+03 0.191177e+02 0.228150e+01 0.116091e+01 0.247783e+03 0.880296e+00 0.596461e+00 0.422698e+00 0.477504e+02 0.244507e+03 -0.554908e-02
0.251081e+03 0.191998e+02 0.224240e+01 0.114246e+01 0.254379e+03 0.869925e+00 0.586519e+00 0.421781e+00 0.479152e+02 0.251081e+03 -0.535278e-02
0.257698e+03 0.192808e+02 0.220336e+01 0.112385e+01 0.261017e+03 0.859380e+00 0.576498e+00 0.420824e+00 0.480208e+02 0.257698e+03 -0.516402e-02
0.264357e+03 0.193607e+02 0.216430e+01 0.110490e+01 0.267696e+03 0.848728e+00 0.566394e+00 0.419814e+00 0.480312e+02 0.264357e+03 -0.498318e-02
0.271055e+03 0.194397e+02 0.212508e+01 0.108563e+01 0.274413e+03 0.838024e+00 0.556222e+00 0.418753e+00 0.479935e+02 0.271055e+03 -0.481066e-02
0.277790e+03 0.195178e+02 0.208571e+01 0.106628e+01 0.281167e+03 0.827264e+00 0.545991e+00 0.417638e+00 0.479370e+02 0.277790e+03 -0.464731e-02
0.284561e+03 0.195949e+02 0.204636e+01 0.104709e+01 0.287955e+03 0.816410e+00 0.535705e+00 0.416464e+00 0.478672e+02 0.284561e+03 -0.449120e-02
0.291366e+03 0.196710e+02 0.200712e+01 0.102810e+01 0.294776e+03 0.805452e+00 0.525369e+00 0.415229e+00 0.477959e+02 0.291366e+03 -0.433975e-02
0.298202e+03 0.197462e+02 0.196803e+01 0.100922e+01 0.301629e+03 0.794417e+00 0.514981e+00 0.413910e+00 0.477016e+02 0.298202e+03 -0.419420e-02
0.305070e+03 0.198203e+02 0.192928e+01 0.990421e+00 0.308511e+03 0.783329e+00 0.504554e+00 0.412478e+00 0.476155e+02 0.305070e+03 -0.405483e-02
0.311966e+03 0.198934e+02 0.189113e+01 0.971670e+00 0.315421e+03 0.772221e+00 0.494091e+00 0.410915e+00 0.475500e+02 0.311966e+03 -0.391985e-02
0.318890e+03 0.199653e+02 0.185349e+01 0.952962e+00 0.322358e+03 0.761096e+00 0.483582e+00 0.409212e+00 0.474557e+02 0.318890e+03 -0.378912e-02
0.325839e+03 0.200362e+02 0.181632e+01 0.934262e+00 0.329321e+03 0.749972e+00 0.473022e+00 0.407353e+00 0.473007e+02 0.325839e+03 -0.366314e-02
0.332814e+03 0.201059e+02 0.177965e+01 0.915509e+00 0.336308e+03 0.738884e+00 0.462418e+00 0.405327e+00 0.471106e+02 0.332814e+03 -0.354271e-02
0.339812e+03 0.201746e+02 0.174343e+01 0.896678e+00 0.343317e+03 0.727851e+00 0.451780e+00 0.403135e+00 0.469267e+02 0.339812e+03 -0.342758e-02
0.346833e+03 0.202422e+02 0.170762e+01 0.877754e+00 0.350349e+03 0.716874e+00 0.441109e+00 0.400780e+00 0.467451e+02 0.346833e+03 -0.331577e-02
0.353875e+03 0.203087e+02 0.167209e+01 0.858748e+00 0.357402e+03 0.705957e+00 0.430401e+00 0.398255e+00 0.465318e+02 0.353875e+03 -0.320808e-02
0.360938e+03 0.203740e+02 0.163685e+01 0.839683e+00 0.364474e+03 0.695102e+00 0.419660e+00 0.395543e+00 0.462946e+02 0.360938e+03 -0.310583e-02
0.368020e+03 0.204382e+02 0.160207e+01 0.820537e+00 0.371566e+03 0.684303e+00 0.408894e+00 0.392633e+00 0.460888e+02 0.368020e+03 -0.300674e-02
0.375121e+03 0.205012e+02 0.156781e+01 0.801385e+00 0.378676e+03 0.673553e+00 0.398103e+00 0.389519e+00 0.459214e+02 0.375121e+03 -0.290893e-02
0.382240e+03 0.205629e+02 0.153393e+01 0.782411e+00 0.385804e+03 0.662852e+00 0.387274e+00 0.386202e+00 0.457274e+02 0.382240e+03 -0.281336e-02
0.389377e+03 0.206233e+02 0.150021e+01 0.763767e+00 0.392949e+03 0.652219e+00 0.376402e+00 0.382677e+00 0.454629e+02 0.389377e+03 -0.272128e-02
0.396530e+03 0.206826e+02 0.146660e+01 0.745465e+00 0.400111e+03 0.641679e+00 0.365488e+00 0.378924e+00 0.451291e+02 0.396530e+03 -0.263262e-02
0.403700e+03 0.207406e+02 0.143319e+01 0.727432e+00 0.407289e+03 0.631278e+00 0.354530e+00 0.374911e+00 0.447148e+02 0.403700e+03 -0.254704e-02
0.410886e+03 0.207976e+02 0.139999e+01 0.709521e+00 0.414483e+03 0.621044e+00 0.343525e+00 0.370611e+00 0.441965e+02 0.410886e+03 -0.246492e-02
0.418087e+03 0.208536e+02 0.136697e+01 0.691802e+00 0.421692e+03 0.610982e+00 0.332479e+00 0.366012e+00 0.436099e+02 0.418087e+03 -0.238653e-02
0.425304e+03 0.209086e+02 0.133423e+01 0.674485e+00 0.428917e+03 0.601092e+00 0.321404e+00 0.361095e+00 0.430206e+02 0.425304e+03 -0.231078e-02
0.432537e+03 0.209626e+02 0.130189e+01 0.657746e+00 0.436157e+03 0.591380e+00 0.310299e+00 0.355837e+00 0.424191e+02 0.432537e+03 -0.223704e-02
0.439785e+03 0.210157e+02 0.126992e+01 0.641735e+00 0.443412e+03 0.581864e+00 0.299160e+00 0.350226e+00 0.417719e+02 0.439785e+03 -0.216636e-02
0.447048e+03 0.210677e+02 0.123814e+01 0.626488e+00 0.450684e+03 0.572569e+00 0.287993e+00 0.344260e+00 0.411122e+02 0.447048e+03 -0.209909e-02
0.454327e+03 0.211187e+02 0.120649e+01 0.611865e+00 0.457971e+03 0.563521e+00 0.276806e+00 0.337923e+00 0.404740e+02 0.454327e+03 -0.203476e-02
0.461622e+03 0.211685e+02 0.117503e+01 0.597706e+00 0.465273e+03 0.554739e+00 0.265599e+00 0.331184e+00 0.398628e+02 0.461622e+03 -0.197274e-02
0.468933e+03 0.212173e+02 0.114384e+01 0.583885e+00 0.472593e+03 0.546242e+00 0.254378e+00 0.324011e+00 0.393015e+02 0.468933e+03 -0.191281e-02
0.476261e+03 0.212647e+02 0.111302e+01 0.570288e+00 0.479929e+03 0.538053e+00 0.243140e+00 0.316363e+00 0.387816e+02 0.476261e+03 -0.185541e-02
0.483606e+03 0.213107e+02 0.108265e+01 0.556879e+00 0.487283e+03 0.530202e+00 0.231884e+00 0.308193e+00 0.382953e+02 0.483606e+03 -0.180071e-02
0.490969e+03 0.213553e+02 0.105288e+01 0.543670e+00 0.494655e+03 0.522710e+00 0.220612e+00 0.299452e+00 0.378652e+02 0.490969e+03 -0.174811e-02
0.498350e+03 0.213983e+02 0.102392e+01 0.530690e+00 0.502046e+03 0.515579e+00 0.209320e+00 0.290096e+00 0.374705e+02 0.498350e+03 -0.169738e-02
0.505751e+03 0.214397e+02 0.995812e+00 0.518013e+00 0.509457e+03 0.508810e+00 0.198002e+00 0.280100e+00 0.370842e+02 0.505751e+03 -0.164906e-02
0.513172e+03 0.214793e+02 0.968503e+00 0.505688e+00 0.516888e+03 0.502395e+00 0.186658e+00 0.269454e+00 0.366993e+02 0.513172e+03 -0.160333e-02
0.520615e+03 0.215172e+02 0.941928e+00 0.493830e+00 0.524342e+03 0.496321e+00 0.175285e+00 0.258145e+00 0.363107e+02 0.520615e+03 -0.156039e-02
0.528081e+03 0.215532e+02 0.916098e+00 0.482579e+00 0.531819e+03 0.490589e+00 0.163884e+00 0.246148e+00 0.359331e+02 0.528081e+03 -0.152028e-02
0.535570e+03 0.215873e+02 0.891127e+00 0.471975e+00 0.539321e+03 0.485222e+00 0.152454e+00 0.233429e+00 0.355766e+02 0.535570e+03 -0.148230e-02
0.543085e+03 0.216196e+02 0.867096e+00 0.462038e+00 0.546849e+03 0.480244e+00 0.140990e+00 0.219963e+00 0.352178e+02 0.543085e+03 -0.144651e-02
0.550627e+03 0.216497e+02 0.843969e+00 0.452820e+00 0.554405e+03 0.475667e+00 0.129494e+00 0.205737e+00 0.348523e+02 0.550627e+03 -0.141375e-02
0.558197e+03 0.216779e+02 0.821804e+00 0.444329e+00 0.561990e+03 0.471487e+00 0.117965e+00 0.190739e+00 0.345011e+02 0.558197e+03 -0.138451e-02
0.565799e+03 0.217039e+02 0.800775e+00 0.436529e+00 0.569607e+03 0.467685e+00 0.106403e+00 0.174949e+00 0.341813e+02 0.565799e+03 -0.135853e-02
0.573433e+03 0.217276e+02 0.781131e+00 0.429403e+00 0.577258e+03 0.464252e+00 0.948056e-01 0.158353e+00 0.339079e+02 0.573433e+03 -0.133499e-02
0.581101e+03 0.217491e+02 0.763084e+00 0.422998e+00 0.584945e+03 0.461197e+00 0.831649e-01 0.140948e+00 0.336590e+02 0.581101e+03 -0.131342e-02
0.588808e+03 0.217681e+02 0.746711e+00 0.417357e+00 0.592670e+03 0.458533e+00 0.714754e-01 0.122754e+00 0.334219e+02 0.588808e+03 -0.129452e-02
0.596554e+03 0.217847e+02 0.732107e+00 0.412494e+00 0.600437e+03 0.456264e+00 0.597335e-01 0.103803e+00 0.332211e+02 0.596554e+03 -0.127894e-02
0.604342e+03 0.217987e+02 0.719456e+00 0.408409e+00 0.608248e+03 0.454398e+00 0.479346e-01 0.841431e-01 0.330939e+02 0.604342e+03 -0.126640e-02
0.612177e+03 0.218100e+02 0.708979e+00 0.405116e+00 0.616106e+03 0.452946e+00 0.360718e-01 0.638371e-01 0.330693e+02 0.612177e+03 -0.125632e-02
0.620060e+03 0.218186e+02 0.700880e+00 0.402632e+00 0.624015e+03 0.451913e+00 0.241314e-01 0.429628e-01 0.329739e+02 0.620060e+03 -0.124902e-02
0.627996e+03 0.218244e+02 0.695348e+00 0.400970e+00 0.631978e+03 0.451296e+00 0.121059e-01 0.216323e-01 0.325630e+02 0.627996e+03 -0.124479e-02
0.635989e+03 0.218274e+02 0.692550e+00 0.400144e+00 0.640000e+03 0.451091e+00 0.000000e+00 0.000000e+00 0.325630e+02 0.635989e+03 -0.124302e-02
