y+ u_mean uu+ ww+ y+ vv+ -uv+
0.439076e+03 0.207121e+02 0.230835e+01 0.106795e+01 0.442136e+03 0.853507e+00 0.556041e+00
0.445205e+03 0.207568e+02 0.228429e+01 0.105731e+01 0.448274e+03 0.846844e+00 0.550111e+00
0.451352e+03 0.208010e+02 0.226030e+01 0.104669e+01 0.454430e+03 0.840201e+00 0.544160e+00
0.457517e+03 0.208449e+02 0.223634e+01 0.103609e+01 0.460604e+03 0.833572e+00 0.538191e+00
0.463699e+03 0.208884e+02 0.221240e+01 0.102556e+01 0.466795e+03 0.826948e+00 0.532204e+00
0.469898e+03 0.209316e+02 0.218851e+01 0.101509e+01 0.473002e+03 0.820319e+00 0.526201e+00
0.476113e+03 0.209744e+02 0.216471e+01 0.100466e+01 0.479225e+03 0.813687e+00 0.520184e+00
0.482344e+03 0.210168e+02 0.214103e+01 0.994254e+00 0.485464e+03 0.807058e+00 0.514151e+00
0.488590e+03 0.210588e+02 0.211744e+01 0.983847e+00 0.491717e+03 0.800432e+00 0.508102e+00
0.494852e+03 0.211005e+02 0.209395e+01 0.973422e+00 0.497986e+03 0.793804e+00 0.502037e+00
0.501127e+03 0.211418e+02 0.207054e+01 0.962948e+00 0.504269e+03 0.787169e+00 0.495954e+00
0.507417e+03 0.211828e+02 0.204716e+01 0.952408e+00 0.510565e+03 0.780530e+00 0.489853e+00
0.513720e+03 0.212234e+02 0.202377e+01 0.941813e+00 0.516875e+03 0.773889e+00 0.483736e+00
0.520037e+03 0.212637e+02 0.200036e+01 0.931227e+00 0.523198e+03 0.767253e+00 0.477607e+00
0.526366e+03 0.213037e+02 0.197700e+01 0.920707e+00 0.529534e+03 0.760633e+00 0.471466e+00
0.532708e+03 0.213434e+02 0.195375e+01 0.910278e+00 0.535882e+03 0.754041e+00 0.465316e+00
0.539062e+03 0.213827e+02 0.193065e+01 0.899907e+00 0.542242e+03 0.747487e+00 0.459156e+00
0.545427e+03 0.214216e+02 0.190771e+01 0.889538e+00 0.548613e+03 0.740977e+00 0.452986e+00
0.551805e+03 0.214602e+02 0.188494e+01 0.879150e+00 0.554996e+03 0.734512e+00 0.446805e+00
0.558193e+03 0.214984e+02 0.186236e+01 0.868768e+00 0.561390e+03 0.728095e+00 0.440612e+00
0.564592e+03 0.215362e+02 0.183997e+01 0.858417e+00 0.567795e+03 0.721728e+00 0.434408e+00
0.571002e+03 0.215736e+02 0.181776e+01 0.848110e+00 0.574210e+03 0.715411e+00 0.428192e+00
0.577422e+03 0.216107e+02 0.179573e+01 0.837851e+00 0.580635e+03 0.709145e+00 0.421965e+00
0.583853e+03 0.216474e+02 0.177386e+01 0.827633e+00 0.587070e+03 0.702931e+00 0.415727e+00
0.590293e+03 0.216838e+02 0.175215e+01 0.817437e+00 0.593515e+03 0.696768e+00 0.409480e+00
0.596742e+03 0.217198e+02 0.173057e+01 0.807264e+00 0.599970e+03 0.690655e+00 0.403224e+00
0.603201e+03 0.217556e+02 0.170907e+01 0.797154e+00 0.606433e+03 0.684583e+00 0.396959e+00
0.609670e+03 0.217909e+02 0.168765e+01 0.787171e+00 0.612906e+03 0.678544e+00 0.390686e+00
0.616147e+03 0.218260e+02 0.166630e+01 0.777350e+00 0.619388e+03 0.672523e+00 0.384405e+00
0.622633e+03 0.218608e+02 0.164506e+01 0.767691e+00 0.625878e+03 0.666507e+00 0.378119e+00
0.629128e+03 0.218952e+02 0.162393e+01 0.758171e+00 0.632377e+03 0.660491e+00 0.371827e+00
0.635631e+03 0.219293e+02 0.160293e+01 0.748739e+00 0.638885e+03 0.654482e+00 0.365528e+00
0.642143e+03 0.219630e+02 0.158200e+01 0.739333e+00 0.645401e+03 0.648497e+00 0.359221e+00
0.648663e+03 0.219964e+02 0.156114e+01 0.729921e+00 0.651925e+03 0.642554e+00 0.352907e+00
0.655191e+03 0.220294e+02 0.154035e+01 0.720502e+00 0.658457e+03 0.636670e+00 0.346588e+00
0.661727e+03 0.220621e+02 0.151966e+01 0.711083e+00 0.664998e+03 0.630855e+00 0.340263e+00
0.668272e+03 0.220944e+02 0.149907e+01 0.701689e+00 0.671546e+03 0.625115e+00 0.333934e+00
0.674824e+03 0.221263e+02 0.147855e+01 0.692362e+00 0.678102e+03 0.619459e+00 0.327601e+00
0.681385e+03 0.221578e+02 0.145809e+01 0.683142e+00 0.684667e+03 0.613899e+00 0.321262e+00
0.687953e+03 0.221890e+02 0.143768e+01 0.674061e+00 0.691239e+03 0.608448e+00 0.314919e+00
0.694529e+03 0.222197e+02 0.141734e+01 0.665138e+00 0.697819e+03 0.603108e+00 0.308572e+00
0.701113e+03 0.222500e+02 0.139706e+01 0.656380e+00 0.704407e+03 0.597881e+00 0.302219e+00
0.707705e+03 0.222799e+02 0.137684e+01 0.647771e+00 0.711003e+03 0.592761e+00 0.295861e+00
0.714306e+03 0.223094e+02 0.135666e+01 0.639291e+00 0.717608e+03 0.587739e+00 0.289498e+00
0.720914e+03 0.223384e+02 0.133648e+01 0.630925e+00 0.724220e+03 0.582811e+00 0.283129e+00
0.727530e+03 0.223670e+02 0.131632e+01 0.622664e+00 0.730840e+03 0.577973e+00 0.276755e+00
0.734155e+03 0.223953e+02 0.129620e+01 0.614495e+00 0.737469e+03 0.573225e+00 0.270375e+00
0.740787e+03 0.224230e+02 0.127613e+01 0.606406e+00 0.744106e+03 0.568569e+00 0.263988e+00
0.747429e+03 0.224504e+02 0.125610e+01 0.598401e+00 0.750751e+03 0.564010e+00 0.257595e+00
0.754079e+03 0.224773e+02 0.123609e+01 0.590487e+00 0.757406e+03 0.559547e+00 0.251195e+00
0.760737e+03 0.225038e+02 0.121612e+01 0.582673e+00 0.764069e+03 0.555177e+00 0.244788e+00
0.767404e+03 0.225298e+02 0.119622e+01 0.574989e+00 0.770740e+03 0.550896e+00 0.238374e+00
0.774081e+03 0.225553e+02 0.117645e+01 0.567464e+00 0.777421e+03 0.546706e+00 0.231953e+00
0.780767e+03 0.225804e+02 0.115685e+01 0.560119e+00 0.784112e+03 0.542611e+00 0.225526e+00
0.787462e+03 0.226050e+02 0.113743e+01 0.552954e+00 0.790812e+03 0.538620e+00 0.219091e+00
0.794167e+03 0.226291e+02 0.111819e+01 0.545960e+00 0.797521e+03 0.534740e+00 0.212649e+00
0.800881e+03 0.226527e+02 0.109912e+01 0.539129e+00 0.804241e+03 0.530978e+00 0.206197e+00
0.807606e+03 0.226758e+02 0.108023e+01 0.532443e+00 0.810972e+03 0.527335e+00 0.199736e+00
0.814342e+03 0.226983e+02 0.106155e+01 0.525899e+00 0.817712e+03 0.523804e+00 0.193267e+00
0.821088e+03 0.227203e+02 0.104313e+01 0.519510e+00 0.824464e+03 0.520378e+00 0.186790e+00
0.827846e+03 0.227416e+02 0.102505e+01 0.513284e+00 0.831227e+03 0.517056e+00 0.180304e+00
