y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+ y+ Diss. Prod. Mole_Diff. vel_p_grad. Turb_Diff.
0.169751e+03 0.183796e+02 0.199431e+01 0.104968e+01 0.172659e+03 0.778395e+00 0.543265e+00 0.438764e+00 0.302393e+02 0.169751e+03 -0.990058e-02 0.100178e-01 0.203823e-04 -0.371794e-03 0.406354e-03
0.175597e+03 0.184847e+02 0.194488e+01 0.102289e+01 0.178535e+03 0.763455e+00 0.528907e+00 0.436819e+00 0.302492e+02 0.175597e+03 -0.942150e-02 0.949592e-02 0.209712e-04 -0.372291e-03 0.437825e-03
0.181501e+03 0.185878e+02 0.189592e+01 0.996220e+00 0.184467e+03 0.748514e+00 0.514398e+00 0.434616e+00 0.302276e+02 0.181501e+03 -0.896952e-02 0.899346e-02 0.179703e-04 -0.367936e-03 0.476949e-03
0.187458e+03 0.186893e+02 0.184722e+01 0.969687e+00 0.190450e+03 0.733647e+00 0.499756e+00 0.432151e+00 0.301921e+02 0.187458e+03 -0.854176e-02 0.850608e-02 0.151207e-04 -0.361807e-03 0.523700e-03
0.193466e+03 0.187887e+02 0.179869e+01 0.943200e+00 0.196483e+03 0.718934e+00 0.484979e+00 0.429397e+00 0.301267e+02 0.193466e+03 -0.813582e-02 0.803316e-02 0.129181e-04 -0.355827e-03 0.577883e-03
0.199522e+03 0.188862e+02 0.175016e+01 0.916786e+00 0.202561e+03 0.704391e+00 0.470067e+00 0.426340e+00 0.300103e+02 0.199522e+03 -0.775009e-02 0.757864e-02 0.117792e-04 -0.353232e-03 0.637348e-03
0.205622e+03 0.189818e+02 0.170162e+01 0.890428e+00 0.208683e+03 0.690017e+00 0.455027e+00 0.422965e+00 0.298437e+02 0.205622e+03 -0.738342e-02 0.714394e-02 0.115605e-04 -0.354704e-03 0.699287e-03
0.211764e+03 0.190754e+02 0.165311e+01 0.864139e+00 0.214844e+03 0.675817e+00 0.439873e+00 0.419253e+00 0.296340e+02 0.211764e+03 -0.703555e-02 0.672727e-02 0.126447e-04 -0.357340e-03 0.762813e-03
0.217944e+03 0.191671e+02 0.160472e+01 0.837955e+00 0.221043e+03 0.661774e+00 0.424617e+00 0.415179e+00 0.293883e+02 0.217944e+03 -0.670545e-02 0.632626e-02 0.138044e-04 -0.362851e-03 0.831672e-03
0.224160e+03 0.192569e+02 0.155660e+01 0.811901e+00 0.227277e+03 0.647868e+00 0.409268e+00 0.410719e+00 0.291107e+02 0.224160e+03 -0.639179e-02 0.593899e-02 0.152287e-04 -0.370188e-03 0.905092e-03
