y+,u_mean,uu+,ww+,y+,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.
425.304,20.9086,1.33423,0.674485,428.917,0.601092,0.321404,0.361095,43.0206,-0.00231078
432.537,20.9626,1.30189,0.657746,436.157,0.59138,0.310299,0.355837,42.4191,-0.00223704
439.785,21.0157,1.26992,0.641735,443.412,0.581864,0.29916,0.350226,41.7719,-0.00216636
447.048,21.0677,1.23814,0.626488,450.684,0.572569,0.287993,0.34426,41.1122,-0.00209909
454.327,21.1187,1.20649,0.611865,457.971,0.563521,0.276806,0.337923,40.474,-0.00203476
461.622,21.1685,1.17503,0.597706,465.273,0.554739,0.265599,0.331184,39.8628,-0.00197274
468.933,21.2173,1.14384,0.583885,472.593,0.546242,0.254378,0.324011,39.3015,-0.00191281
476.261,21.2647,1.11302,0.570288,479.929,0.538053,0.24314,0.316363,38.7816,-0.00185541
483.606,21.3107,1.08265,0.556879,487.283,0.530202,0.231884,0.308193,38.2953,-0.00180071
490.969,21.3553,1.05288,0.54367,494.655,0.52271,0.220612,0.299452,37.8652,-0.00174811
498.35,21.3983,1.02392,0.53069,502.046,0.515579,0.20932,0.290096,37.4705,-0.00169738
505.751,21.4397,0.995812,0.518013,509.457,0.50881,0.198002,0.2801,37.0842,-0.00164906
513.172,21.4793,0.968503,0.505688,516.888,0.502395,0.186658,0.269454,36.6993,-0.00160333
520.615,21.5172,0.941928,0.49383,524.342,0.496321,0.175285,0.258145,36.3107,-0.00156039
528.081,21.5532,0.916098,0.482579,531.819,0.490589,0.163884,0.246148,35.9331,-0.00152028
535.57,21.5873,0.891127,0.471975,539.321,0.485222,0.152454,0.233429,35.5766,-0.0014823
543.085,21.6196,0.867096,0.462038,546.849,0.480244,0.14099,0.219963,35.2178,-0.00144651
550.627,21.6497,0.843969,0.45282,554.405,0.475667,0.129494,0.205737,34.8523,-0.00141375
558.197,21.6779,0.821804,0.444329,561.99,0.471487,0.117965,0.190739,34.5011,-0.00138451
565.799,21.7039,0.800775,0.436529,569.607,0.467685,0.106403,0.174949,34.1813,-0.00135853
573.433,21.7276,0.781131,0.429403,577.258,0.464252,0.0948056,0.158353,33.9079,-0.00133499
581.101,21.7491,0.763084,0.422998,584.945,0.461197,0.0831649,0.140948,33.659,-0.00131342
588.808,21.7681,0.746711,0.417357,592.67,0.458533,0.0714754,0.122754,33.4219,-0.00129452
596.554,21.7847,0.732107,0.412494,600.437,0.456264,0.0597335,0.103803,33.2211,-0.00127894
604.342,21.7987,0.719456,0.408409,608.248,0.454398,0.0479346,0.0841431,33.0939,-0.0012664
612.177,21.81,0.708979,0.405116,616.106,0.452946,0.0360718,0.0638371,33.0693,-0.00125632
620.06,21.8186,0.70088,0.402632,624.015,0.451913,0.0241314,0.0429628,32.9739,-0.00124902
627.996,21.8244,0.695348,0.40097,631.978,0.451296,0.0121059,0.0216323,32.563,-0.00124479
635.989,21.8274,0.69255,0.400144,640,0.451091,0,0,32.563,-0.00124302
