y+,u_mean,uu+,ww+,y+2,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.,Prod.,Mole_Diff.,vel_p_grad.,Turb_Diff.,u_mean2,uu+2
163.965,18.2727,2.04429,1.0764,166.842,0.793293,0.557457,0.440455,30.1915,-0.0104084,0.0105592,1.69296e-05,-0.00036315,0.000380292,18.32585438990667,2.0194382094711374
169.751,18.3796,1.99431,1.04968,172.659,0.778395,0.543265,0.438764,30.2393,-0.00990058,0.0100178,2.03823e-05,-0.000371794,0.000406354,18.431880328429695,1.9697218303113242
175.597,18.4847,1.94488,1.02289,178.535,0.763455,0.528907,0.436819,30.2492,-0.0094215,0.00949592,2.09712e-05,-0.000372291,0.000437825,18.536005521680217,1.9205160975609756
181.501,18.5878,1.89592,0.99622,184.467,0.748514,0.514398,0.434616,30.2276,-0.00896952,0.00899346,1.79703e-05,-0.000367936,0.000476949,18.638337015276147,1.8716721907000167
187.458,18.6893,1.84722,0.969687,190.45,0.733647,0.499756,0.432151,30.1921,-0.00854176,0.00850608,1.51207e-05,-0.000361807,0.0005237,18.738801464713713,1.823051930758988
193.466,18.7887,1.79869,0.9432,196.483,0.718934,0.484979,0.429397,30.1267,-0.00813582,0.00803316,1.29181e-05,-0.000355827,0.000577883,18.837272902906207,1.7745131489431967
199.522,18.8862,1.75016,0.916786,202.561,0.704391,0.470067,0.42634,30.0103,-0.00775009,0.00757864,1.17792e-05,-0.000353232,0.000637348,18.933827606557376,1.725977531147541
205.622,18.9818,1.70162,0.890428,208.683,0.690017,0.455027,0.422965,29.8437,-0.00738342,0.00714394,1.15605e-05,-0.000354704,0.000699287,19.028447606642786,1.677443980788017
211.764,19.0754,1.65311,0.864139,214.844,0.675817,0.439873,0.419253,29.634,-0.00703555,0.00672727,1.26447e-05,-0.00035734,0.000762813,19.121101618122978,1.628993300970874
217.944,19.1671,1.60472,0.837955,221.043,0.661774,0.424617,0.415179,29.3883,-0.00670545,0.00632626,1.38044e-05,-0.000362851,0.000831672,19.21186998069498,1.5807296718146717
